Argyll V2.1.1
Digest-MD5 2.55
DirectFB 1.7.7
Encode-Locale 1.05
ExtUtils-CBuilder 0.280230
ExtUtils-Depends 0.405
ExtUtils-PkgConfig 1.16
File-Listing 6.04
File-Next 1.16
GConf 3.2.6
HTML-Form 6.03
HTML-Parser 3.72
HTML-Tagset 3.20
HTTP-Cache-Transparent 1.4
HTTP-Cookies 6.01
HTTP-Daemon 6.01
HTTP-Date 6.05
HTTP-Message 6.22
HTTP-Negotiate 6.01
Hack-otf 2_020
Hack-ttf 3.003
ImageMagick 7.0.10-22
LWP-MediaTypes 6.02
Locale-gettext 1.07
MIME-Base64 3.15
Net-HTTP 6.19
ORBit2 2.14.19
Parse-Yapp 1.21
Pod-Coverage 0.23
Pod-Escapes 1.07
Pod-Simple 3.30
SDL 1.2.15
SDL2 2.0.12
SDL_Pango 0.1.2
SDL_gfx 2.0.26
SDL_image 1.2.12
SDL_mixer 1.2.12
SDL_net 1.2.8
SDL_sound 1.0.3
SDL_ttf 2.0.11
SGMLSpm 1.1
Sphinx 3.1.1
TECkit 2.5.9
Try-Tiny 0.30
WWW-RobotRules 6.02
XML-NamespaceSupport 1.12
XML-SAX 1.00
XML-SAX-Base 1.09
XML-SAX-Expat 0.51
XML-Simple 2.25
XOrg-apps X11R7.x
XOrg-fonts X11R7.x
XOrg-libs X11R7.x
XOrg7 X11R7.4
YAML-Syck 1.30
a52dec 0.7.4
aalib 1.4rc5
acpica-unix 20200528
acpid 2.0.32
alabaster 0.7.12
alsa-lib 1.2.3.1
alsa-utils 1.2.3
antiword 0.37
appres 1.0.5
apr 1.6.5
apr-util 1.6.1
asciidoc 8.6.10
asciidoctor 2.0.10
aspell 0.60.8
aspell-en 2018.04.16-0
aspell-fr 0.50-3
at-spi2-atk 2.34.2
at-spi2-core 2.36.0
atk 2.36.0
atkmm 2.28.0
audiofile 0.3.6
autobook 1.5
autoconf-archive 2019.01.06
autoconf-mozilla 2.13
autogen 5.18.16
babl 0.1.78
bdftopcf 1.1
bind 9.17.2
bitmap 1.0.9
blender 2.83.0
blueman 2.1.3
bluez-5 54
boost 1.72.0
bridge-utils 1.6
bubblewrap 0.4.1
c-ares 1.16.1
cairo 1.16.0
cairomm 1.12.2
calc 2.12.7.1
catdoc 0.95
cbindgen 0.14.1
cdparanoia III-10.2
cdrtools 3.02
celt051 0.5.1.3
chkconfig 1.3.30c
chmlib 0.40
chrono 0.2.40
claws-mail 3.17.5
clucene 2.3.3.4
cmake 3.17.3
colord 1.4.4
compiler-rt 10.0.0
confuse 3.2.2
conky 1.11.5
containerd 1.3.3
cppunit 1.15.1
crafty 25.2
cron-common 0.2
cronie 1.5.5
cscope 15.9
ctags 5.8
cups 2.3.3
cups-filters 1.27.5
curl 7.71.0
cyrus-sasl 2.1.27
cython 0.29.20
dbus-glib 0.110
dconf 0.36.0
ddrescue 1.25
desktop-file-utils 0.26
dev86 0.16.21
dirsplit 0.3.3
dnsmasq 2.81
docbook-dsssl 1.79
docbook-dsssl-doc 1.79
docbook-profile 1.1
docbook-sgml 4.5
docbook-utils 0.6.14
docbook-xml 4.5
docbook-xsl 1.79.2
docbook2X 0.8.8
docker 18.09.6
docutils 0.16
dotconf 1.3
double-conversion 3.1.5
doxygen 1.8.18
dpkg 1.19.7
duc 1.4.4
dump 0.4b46
e3 2.82
editres 1.0.7
eigen3 3.3.7
emacs 26.3
enchant 2.2.8
enchant1 1.6.1
encodings 1.0.5
enscript 1.6.6
eog 3.36.3
epdfview 0.1.8
espeak 1.48.04-source
exempi 2.5.1
exfat-utils 1.3.0
exiv2 0.27.2
exo 0.12.11
faac 1.30
